id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,transaction_id,date,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,CLASS_fraud_label
2166,1648,Visa,Debit,4721815072237153,06/2021,106,YES,2,$97352,03/2007,2019,No,66,69,1953,5,Female,211 Valley Street,40.76,-74.59,$91180,$185909,$461854,621,5,18952936,2017-01-16 08:35:00,2624,$61.61,Swipe Transaction,32175,Cream Ridge,NJ,8514.0,7538,,No
1171,1976,Mastercard,Debit,5320540849135700,10/2023,66,YES,1,$21160,02/2009,2009,No,33,69,1986,3,Female,2552 Forest Avenue,39.61,-76.85,$27906,$56897,$0,699,5,21241796,2018-05-16 08:51:00,4847,$33.62,Chip Transaction,20561,Elkridge,MD,21075.0,5912,,No
2730,1616,Mastercard,Debit,5724240961290015,12/2023,700,YES,1,$28861,04/2014,2014,No,48,70,1971,8,Male,469 First Lane,33.0,-97.23,$46232,$94260,$39326,815,4,11115172,2012-05-12 16:06:00,5164,$45.29,Swipe Transaction,39305,Jersey City,NJ,7307.0,4121,,
1239,171,Visa,Debit,4548390986370918,10/2021,555,YES,2,$21022,02/2010,2011,No,43,70,1976,5,Female,5194 Grant Street,34.83,-82.37,$24314,$49577,$142314,694,3,11815253,2012-10-17 17:06:00,1239,$85.87,Swipe Transaction,61195,Greenville,SC,29607.0,5541,,No
1300,678,Mastercard,Credit,5190363040476849,08/2022,377,YES,2,$8600,02/2012,2012,No,63,67,1957,2,Female,861 Martin Luther King Boulevard,42.88,-78.85,$14456,$29477,$56355,850,4,14979310,2014-09-16 06:27:00,3577,$0.83,Swipe Transaction,78454,Buffalo,NY,14215.0,5812,,
371,368,Mastercard,Debit,5892815616421272,02/2020,831,YES,2,$22132,01/2018,2018,No,75,73,1945,2,Male,2842 Littlewood Avenue,28.5,-81.37,$20121,$42806,$20432,726,6,21211143,2018-05-09 15:20:00,371,$34.22,Chip Transaction,86959,Orlando,FL,32825.0,5311,,
190,1995,Amex,Credit,316487244875963,08/2023,737,NO,2,$9700,01/2009,2009,No,64,62,1955,7,Female,28 First Lane,39.92,-77.71,$20943,$39206,$9219,605,4,15439070,2014-12-25 08:23:00,1196,$21.95,Swipe Transaction,88683,Chambersburg,PA,17202.0,5921,,No
3375,634,Amex,Credit,355152345366905,01/2022,511,YES,1,$11100,06/2008,2016,No,49,74,1970,8,Female,5063 Seventh Avenue,41.38,-81.64,$24071,$49079,$6494,683,4,20278815,2017-10-24 06:08:00,3541,$4.66,Chip Transaction,2703,Independence,OH,44131.0,5814,,No
5999,1194,Mastercard,Debit,5312379293764300,06/2022,244,NO,2,$17564,12/2010,2010,No,49,70,1970,3,Male,2248 Third Avenue,35.06,-85.25,$18658,$38041,$27813,782,4,17118756,2015-12-20 15:07:00,4614,$120.00,Chip Transaction,27092,Chattanooga,TN,37421.0,4829,,No
299,1797,Mastercard,Debit,5586398791957987,03/2022,828,YES,1,$27243,01/2012,2012,No,67,65,1952,11,Male,391 Martin Luther King Boulevard,37.71,-122.16,$24971,$30962,$15336,743,5,20081028,2017-09-12 02:31:00,299,$24.00,Chip Transaction,68579,San Leandro,CA,94577.0,5300,,No
5193,665,Mastercard,Debit,5223363810636949,06/2023,157,YES,1,$1264,10/2010,2019,No,81,65,1939,1,Female,374 Lexington Street,41.23,-80.81,$12406,$11613,$427,790,8,11566426,2012-08-22 15:28:00,5357,$3.09,Online Transaction,39021,ONLINE,,,4784,,
