id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,transaction_id,date,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,CLASS_fraud_label
5476,1992,Visa,Debit,4599537074421924,06/2021,352,YES,1,$13034,11/2006,2006,No,63,72,1956,7,Female,457 Summit Lane,36.61,-89.81,$11636,$23725,$47647,710,5,23549853,2019-09-16 16:31:00,1132,$0.44,Chip Transaction,14528,Poplar Bluff,MO,63901.0,5499,,No
1296,688,Amex,Credit,361648729239104,11/2018,709,NO,2,$6600,02/2012,2012,No,44,67,1975,3,Male,5125 Elm Drive,41.31,-111.96,$23165,$47227,$151030,760,4,13212286,2013-08-24 20:45:00,5209,$43.95,Swipe Transaction,40336,Ogden,UT,84414.0,5812,,No
300,1797,Mastercard,Debit,5535701151074664,02/2022,987,YES,1,$16279,01/2012,2012,No,67,65,1952,11,Male,391 Martin Luther King Boulevard,37.71,-122.16,$24971,$30962,$15336,743,5,16888961,2015-11-01 14:24:00,5660,$29.95,Online Transaction,15143,ONLINE,,,4784,,No
1,550,Mastercard,Credit,5278231764792292,06/2024,396,YES,1,$11600,01/1994,2013,No,76,70,1944,2,Male,4937 Maple Lane,47.54,-122.58,$21219,$30248,$35766,763,4,23289715,2019-07-23 19:28:00,163,$295.33,Chip Transaction,80200,Port Orchard,WA,98366.0,6300,,No
1012,970,Mastercard,Credit,5882842508952744,07/2019,614,YES,2,$10700,02/2003,2013,No,42,66,1977,11,Male,1942 Rose Avenue,29.1,-81.0,$21916,$44681,$42011,770,3,21091529,2018-04-14 09:43:00,1012,$54.00,Swipe Transaction,28395,Port Orange,FL,32128.0,5541,,
2845,1140,Mastercard,Debit,5152235839088172,07/2023,469,NO,2,$27298,05/2003,2007,No,44,65,1975,7,Male,591 South Avenue,38.96,-95.25,$27149,$55351,$152645,703,6,17542614,2016-03-21 08:42:00,2195,$-77.00,Chip Transaction,59935,Lawrence,KS,66049.0,5499,,
3695,96,Mastercard,Debit,5481724154378262,04/2023,952,YES,2,$19959,07/2003,2013,No,69,66,1950,12,Female,20 Oak Street,33.89,-117.78,$38948,$99825,$4344,685,4,22405249,2019-01-17 16:19:00,3695,$57.00,Chip Transaction,43293,Yorba Linda,CA,92887.0,5499,,No
4348,240,Visa,Debit,4266531803641466,05/2015,229,YES,2,$14392,08/2010,2011,No,50,68,1970,2,Male,280 Lake Avenue,36.21,-83.29,$17104,$34868,$51984,745,3,11027002,2012-04-22 14:53:00,4348,$23.12,Swipe Transaction,92165,Morristown,TN,37814.0,5411,,No
3284,419,Visa,Debit,4580608927025365,01/2007,312,YES,2,$18089,06/2004,2009,No,60,66,1959,11,Male,933 Valley Lane,38.14,-120.45,$16448,$33540,$74530,734,5,21229810,2018-05-13 13:21:00,3854,$20.84,Chip Transaction,20519,Manteca,CA,95336.0,5942,,No
5877,1913,Mastercard,Credit,5697567028506344,11/2020,356,YES,2,$16200,12/2007,2011,No,60,57,1960,1,Female,561 Martin Luther King Avenue,42.47,-83.49,$34259,$31121,$32768,619,5,11925527,2012-11-11 17:03:00,5877,$19.25,Swipe Transaction,26810,Alvordton,OH,43501.0,5541,,No
105,783,Mastercard,Credit,5084097673104529,10/2007,908,YES,2,$5600,01/2006,2008,No,62,61,1957,9,Male,641 Martin Luther King Avenue,35.31,-106.55,$15966,$29769,$14542,693,3,11671412,2012-09-15 08:58:00,4945,$58.10,Swipe Transaction,16875,Bernalillo,NM,87004.0,5411,,
3652,665,Mastercard,Debit,5972495236133028,10/2024,260,YES,1,$8747,07/1998,2007,No,81,65,1939,1,Female,374 Lexington Street,41.23,-80.81,$12406,$11613,$427,790,8,10550325,2012-01-04 04:31:00,3402,$21.01,Swipe Transaction,69956,Warren,OH,44485.0,5310,,No
3941,1348,Mastercard,Debit,5372184619325693,11/2020,785,YES,2,$1,07/2010,2010,No,83,64,1936,6,Male,873 Summit Street,40.64,-73.94,$0,$2,$0,667,6,20639317,2018-01-08 08:53:00,4982,$1.28,Chip Transaction,74659,Brooklyn,NY,11215.0,5912,,No
3794,122,Visa,Credit,4233666699901617,03/2020,331,YES,2,$8200,07/2006,2013,No,65,66,1954,3,Female,6303 South Boulevard,29.69,-91.3,$19237,$39221,$45409,786,4,22764999,2019-04-03 20:45:00,2134,$89.00,Chip Transaction,22204,Schriever,LA,70395.0,5541,,
1250,676,Visa,Credit,4209302581526449,06/2023,777,YES,2,$9300,02/2010,2010,No,40,65,1980,2,Male,663 Third Drive,33.09,-96.88,$31905,$65053,$83571,775,2,9068067,2011-01-25 06:12:00,3910,$2.20,Swipe Transaction,91842,The Colony,TX,75056.0,5812,,No
