id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,id_right,date,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,fraud_label
4235,828,Amex,Credit,354919576312722,08/2021,795,YES,1,$9500,08/2008,2016,No,59,71,1960,3,Female,85 Littlewood Avenue,29.45,-98.5,$17609,$35906,$69819,659,3,9093022,2011-01-30 23:04:00,4235,$27.08,Swipe Transaction,86959,San Antonio,TX,78217.0,5311,,
2555,1904,Visa,Credit,4906330160441425,06/2021,740,NO,1,$13600,04/2007,2011,No,69,70,1951,2,Male,5844 Littlewood Street,35.95,-95.38,$15195,$30983,$10019,757,5,11854721,2012-10-26 15:43:00,2575,$28.70,Swipe Transaction,20561,Mcalester,OK,74501.0,5912,,
5175,96,Visa,Credit,4395260796436247,07/2021,152,NO,2,$18900,10/2009,2013,No,69,66,1950,12,Female,20 Oak Street,33.89,-117.78,$38948,$99825,$4344,685,4,20523261,2017-12-14 15:55:00,5175,$179.24,Swipe Transaction,86959,Yorba Linda,CA,92886.0,5311,,
2033,1843,Mastercard,Credit,5937483494199250,09/2020,651,YES,1,$13200,03/2002,2018,No,89,73,1930,11,Male,89 Wessex Street,41.5,-87.63,$16503,$38761,$69,760,7,10175592,2011-10-10 06:07:00,3522,$2.71,Swipe Transaction,42230,Chicago Heights,IL,60411.0,5411,,
344,1775,Mastercard,Debit,5309940542589432,02/2020,924,YES,2,$17201,01/2015,2015,No,26,67,1993,8,Male,2484 Norfolk Drive,38.91,-75.43,$18622,$37968,$55982,788,3,15576244,2015-01-23 16:18:00,344,$38.68,Online Transaction,39021,ONLINE,,,4784,,
3291,1712,Mastercard,Debit,5526616116382741,10/2021,600,YES,1,$21205,06/2005,2010,No,82,65,1938,1,Female,1437 Madison Lane,32.79,-96.76,$27814,$66999,$3140,730,5,9155209,2011-02-14 16:09:00,4342,$25.10,Online Transaction,16798,ONLINE,,,4121,,
199,658,Mastercard,Debit,5342017674521143,08/2024,200,YES,2,$22742,01/2009,2009,No,40,64,1980,2,Female,7476 First Lane,29.67,-82.33,$25812,$52630,$68559,725,4,18799911,2016-12-14 12:10:00,199,$4.01,Swipe Transaction,59935,Gainesville,FL,32607.0,5499,,
2731,825,Visa,Debit,4956965974959986,12/2020,393,YES,2,$21968,04/2014,2014,No,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,$29278,$59696,$127613,787,5,19206697,2017-03-11 06:24:00,42,$135.76,Swipe Transaction,61195,Mira Loma,CA,91752.0,5541,,
4750,373,Visa,Debit,4623830121488860,08/2023,233,YES,1,$3867,09/2009,2009,No,61,63,1959,2,Male,3270 Grant Avenue,40.59,-84.95,$10493,$21397,$54771,812,4,10894174,2012-03-23 09:44:00,2817,$1.76,Swipe Transaction,23233,Geneva,IN,46740.0,5411,,
6109,1571,Mastercard,Debit,5800183437928465,04/2024,148,YES,2,$16325,12/2015,2015,No,58,66,1961,6,Female,385 Jefferson Avenue,36.29,-86.6,$25166,$51316,$0,759,6,11134918,2012-05-17 09:27:00,2487,$11.59,Swipe Transaction,19964,Ridley Park,PA,19078.0,5311,,
1254,1482,Visa,Debit,4474303260979464,10/2021,877,YES,2,$34877,02/2010,2012,No,54,64,1965,8,Male,52 Sixth Boulevard,34.06,-84.27,$43725,$89152,$162012,675,1,22796425,2019-04-10 14:04:00,1254,$48.03,Chip Transaction,54360,Alpharetta,GA,30005.0,4900,,
5364,363,Visa,Credit,4485600180364627,07/2014,123,YES,1,$18700,11/2000,2010,No,52,66,1967,9,Female,7508 Grant Street,27.9,-82.78,$23878,$48686,$113137,701,3,17955303,2016-06-17 10:42:00,5208,$8.89,Chip Transaction,25717,Largo,FL,33778.0,5812,,
5519,1613,Mastercard,Credit,5720952964572786,11/2020,145,YES,1,$12500,11/2008,2010,No,39,65,1980,12,Male,4784 Park Boulevard,44.44,-69.83,$21647,$44134,$0,792,4,12565883,2013-04-04 12:45:00,5519,$50.00,Swipe Transaction,59935,Farmington,ME,4938.0,5499,,
4650,1114,Visa,Credit,4417056929607717,10/2017,693,YES,2,$12500,09/2007,2013,No,44,66,1976,1,Male,9900 Ninth Avenue,39.02,-86.93,$18204,$37115,$58438,685,3,8111889,2010-06-09 11:14:00,4246,$13.86,Swipe Transaction,67570,Bloomfield,IN,47424.0,5311,,
1070,476,Visa,Debit,4385795693863379,06/2024,806,YES,2,$31535,02/2005,2009,No,68,71,1951,9,Male,26 El Camino Street,40.93,-76.25,$20340,$41473,$98151,724,3,9517717,2011-05-10 15:09:00,1070,$89.00,Swipe Transaction,22204,Alburtis,PA,18011.0,5541,,
213,804,Visa,Credit,4108680950969751,08/2012,988,NO,2,$5400,01/2009,2011,No,64,67,1955,7,Male,37 River Boulevard,36.97,-86.44,$14839,$30252,$24172,812,5,17979181,2016-06-22 11:52:00,1071,$126.00,Chip Transaction,92822,Bowling Green,KY,42101.0,3395,,
3105,776,Visa,Debit,4147569007175929,07/2020,384,YES,2,$25020,05/2011,2011,No,55,73,1964,12,Male,905 West Avenue,35.1,-90.0,$47798,$97455,$219213,616,2,12720187,2013-05-08 17:21:00,3105,$160.00,Swipe Transaction,27092,Memphis,TN,38116.0,4829,,
976,1512,Mastercard,Debit,5948987936502889,07/2020,368,NO,2,$19651,02/2000,2013,No,44,65,1975,6,Male,6995 North Drive,39.77,-86.14,$32865,$67008,$81402,778,8,10244424,2011-10-25 16:45:00,5190,$9.46,Swipe Transaction,3640,Indianapolis,IN,46236.0,5300,,
5783,287,Mastercard,Debit,5299823964392127,12/2023,273,NO,2,$2159,12/2002,2006,No,42,73,1977,8,Female,152 El Camino Boulevard,29.31,-95.01,$21178,$43181,$57199,710,3,8523703,2010-09-17 02:48:00,5783,$-303.00,Swipe Transaction,47630,Bellville,TX,77418.0,7011,,
53,905,Mastercard,Debit,5360731476529064,12/2023,898,NO,2,$64321,01/2004,2007,No,69,73,1950,11,Male,385 Maple Street,37.55,-122.26,$47524,$96901,$182809,701,5,13344116,2013-09-22 20:04:00,5053,$107.81,Swipe Transaction,1980,San Mateo,CA,94404.0,5813,,
4180,1995,Mastercard,Debit,5817112710661345,01/2020,29,YES,2,$5997,08/2006,2012,No,64,62,1955,7,Female,28 First Lane,39.92,-77.71,$20943,$39206,$9219,605,4,12578417,2013-04-07 08:44:00,2439,$7.75,Swipe Transaction,81833,Chambersburg,PA,17202.0,5912,,
4704,376,Visa,Debit,4061229587825801,08/2024,127,YES,1,$2696,09/2008,2013,No,50,74,1969,4,Female,818 12th Lane,39.8,-74.62,$28433,$57975,$34570,773,4,15914986,2015-04-06 19:58:00,4704,$24.56,Online Transaction,18563,ONLINE,,,4121,,
2873,1674,Amex,Credit,366520954874839,05/2022,447,YES,2,$8800,05/2005,2011,No,70,64,1949,4,Male,5073 Wessex Avenue,35.49,-90.35,$14172,$26858,$11245,712,2,18933920,2017-01-12 07:13:00,2873,$20.00,Chip Transaction,27092,Batesville,AR,72501.0,4829,,
5952,121,Visa,Debit,4716535552633032,02/2023,508,YES,1,$18137,12/2008,2011,No,34,66,1985,11,Female,71858 Mountain View Street,44.21,-88.43,$22277,$45419,$124370,721,3,16761318,2015-10-05 09:26:00,5952,$57.38,Chip Transaction,32175,Menasha,WI,54952.0,7538,,
5264,1770,Visa,Credit,4908479439696234,12/2017,597,YES,1,$0,10/2012,2012,No,30,66,1989,9,Male,6657 West Street,26.61,-80.05,$18415,$37544,$15489,703,4,16360501,2015-07-11 12:45:00,6054,$24.33,Chip Transaction,22204,New Brunswick,NJ,8901.0,5541,,
4747,1558,Visa,Debit,4114768485287188,03/2023,234,YES,1,$2566,09/2009,2012,No,47,65,1973,2,Female,675 Little Creek Drive,40.64,-73.94,$25172,$51330,$106161,597,2,15123460,2014-10-17 12:10:00,3750,$61.10,Online Transaction,39021,ONLINE,,,4784,,
2647,1736,Mastercard,Credit,5389414515165982,12/2022,32,YES,1,$9100,04/2010,2019,No,43,67,1977,1,Male,2479 Valley Avenue,40.64,-73.94,$22456,$45789,$94014,695,4,22480473,2019-02-02 14:36:00,2647,$46.61,Online Transaction,39021,ONLINE,,,4784,,
3371,1962,Visa,Credit,4415046745142821,06/2011,166,NO,1,$21000,06/2007,2015,No,34,68,1985,9,Male,2066 Ninth Lane,41.8,-87.92,$45307,$92375,$156949,712,5,17299495,2016-01-28 07:06:00,2594,$12.73,Chip Transaction,91514,Willowbrook,IL,60527.0,5812,,
4811,525,Mastercard,Debit,5407600934550843,02/2020,335,YES,2,$13257,09/2011,2011,No,55,66,1964,4,Male,959 Tenth Street,38.29,-120.58,$18223,$37147,$0,703,3,9413788,2011-04-16 10:26:00,6004,$25.87,Swipe Transaction,3418,Mokelumne Hill,CA,95245.0,4121,,
3,1937,Visa,Credit,4289888672554714,04/2020,736,YES,2,$16400,01/1995,2015,No,65,62,1955,2,Female,230 Plum Avenue,38.78,-90.7,$25350,$17056,$29112,667,5,15903216,2015-04-04 11:26:00,4868,$11.71,Chip Transaction,59935,O Fallon,MO,63366.0,5499,,
915,672,Visa,Debit,4723396292994912,09/2020,740,YES,1,$12329,01/2020,2020,No,37,68,1983,2,Male,95873 Madison Boulevard,35.81,-83.25,$11755,$23967,$3880,722,4,17702537,2016-04-24 12:46:00,5001,$39.58,Chip Transaction,89490,Cosby,TN,37722.0,5300,,
352,1544,Amex,Credit,391180215396039,02/2022,329,YES,2,$4400,01/2016,2016,No,36,65,1983,9,Female,7643 Martin Luther King Street,40.1,-84.62,$16351,$33339,$83353,679,2,18154660,2016-07-29 18:55:00,3137,$62.05,Chip Transaction,89069,Greenville,OH,45331.0,5251,,
2491,1528,Mastercard,Debit,5074464458367025,08/2017,226,YES,2,$5656,04/2005,2020,No,78,73,1942,1,Female,324 Lafayette Drive,32.61,-93.28,$17311,$27992,$1058,695,6,8932399,2010-12-23 19:52:00,5828,$193.77,Swipe Transaction,39738,Minden,LA,71055.0,8021,,
4548,1128,Mastercard,Debit,5493545357380440,08/2024,774,YES,2,$15110,09/2004,2009,No,47,68,1972,7,Male,208 Park Avenue,44.53,-72.0,$16976,$34606,$23909,680,5,21683096,2018-08-17 14:28:00,4548,$19.44,Chip Transaction,48896,Lyndonville,VT,5851.0,5300,,
2496,190,Visa,Credit,4273233611719444,10/2014,602,YES,1,$17700,04/2005,2010,No,40,67,1979,4,Male,5468 Little Creek Drive,42.03,-87.73,$21801,$44452,$12409,711,5,10549861,2012-01-03 20:46:00,2496,$50.39,Swipe Transaction,2703,Skokie,IL,60077.0,5814,,
2097,563,Visa,Debit,4483872607052928,03/2009,224,YES,2,$17323,03/2005,2011,No,70,65,1950,1,Male,3485 Federal Avenue,39.87,-75.92,$24725,$49531,$6707,737,6,14183991,2014-03-26 08:05:00,1060,$23.13,Online Transaction,39021,ONLINE,,,4784,,
3962,1872,Visa,Credit,4481314542302614,05/2023,653,YES,1,$15900,07/2010,2013,No,62,65,1957,10,Male,8915 Sixth Avenue,33.95,-84.54,$33093,$67470,$93795,804,6,11661542,2012-09-13 06:16:00,2918,$12.29,Swipe Transaction,26810,Marietta,GA,30062.0,5541,,
2526,38,Mastercard,Debit,5297260201877616,01/2024,580,YES,2,$3711,04/2007,2013,No,45,64,1974,12,Female,582 Birch Boulevard,26.63,-81.85,$19621,$40006,$72794,621,1,9153230,2011-02-14 09:14:00,2526,$3.69,Swipe Transaction,59935,Astoria,OR,97103.0,5499,,
3247,1581,Amex,Credit,335921476257243,02/2022,743,NO,1,$11300,06/2003,2007,No,38,65,1981,11,Female,9324 Catherine Street,38.42,-90.36,$21744,$44334,$55173,684,5,20755194,2018-02-01 18:10:00,5840,$51.25,Chip Transaction,98648,Arnold,MO,63010.0,5814,,
3787,754,Visa,Debit,4011865942072124,04/2021,749,YES,1,$6138,07/2006,2016,No,76,69,1943,3,Female,15 Elm Lane,33.69,-78.89,$19025,$32817,$27209,705,6,16266676,2015-06-21 12:21:00,6002,$-57.00,Chip Transaction,43293,Myrtle Beach,SC,29579.0,5499,,
1058,779,Mastercard,Debit,5260501863539748,10/2023,797,NO,2,$3099,02/2005,2013,No,81,69,1938,3,Female,44 Valley Boulevard,33.77,-96.67,$20874,$32669,$1433,755,5,10968778,2012-04-09 11:35:00,2069,$14.20,Swipe Transaction,45926,Rumson,NJ,7760.0,5814,,
336,534,Visa,Debit,4357162101921894,04/2024,602,YES,2,$32659,01/2014,2014,No,27,74,1993,2,Female,31919 Summit Boulevard,41.72,-93.6,$29680,$60510,$23196,790,3,20548796,2017-12-20 07:30:00,336,$-99.00,Chip Transaction,59935,Ankeny,IA,50021.0,5499,,
185,1659,Visa,Credit,4199299822093543,09/2015,515,YES,2,$19100,01/2008,2008,No,94,65,1926,1,Female,4570 Valley Stream Lane,42.26,-88.13,$28147,$40787,$1574,782,6,8455345,2010-08-31 14:37:00,185,$16.93,Swipe Transaction,63683,Wauconda,IL,60084.0,4121,,
280,267,Mastercard,Debit,5625635561969960,07/2023,310,YES,2,$10636,01/2011,2011,No,61,66,1958,3,Female,7360 Lexington Drive,37.96,-83.82,$13602,$27733,$21785,765,3,22339487,2019-01-03 16:49:00,4411,$20.43,Chip Transaction,32175,Stanton,KY,40380.0,7538,,
3967,1591,Mastercard,Debit,5362951145456228,12/2024,818,YES,2,$17332,07/2011,2012,No,58,66,1961,6,Female,2200 Third Drive,48.28,-122.62,$16537,$33717,$58236,698,6,16103780,2015-05-17 14:54:00,2847,$18.84,Online Transaction,88998,ONLINE,,,4784,,
251,649,Visa,Debit,4827129780511983,03/2024,941,YES,1,$8280,01/2010,2010,No,48,65,1971,9,Male,9 Fourth Drive,41.5,-74.02,$22762,$46408,$0,847,7,15926602,2015-04-09 11:05:00,251,$30.03,Chip Transaction,76639,Warrensburg,NY,12885.0,5732,,
4316,1128,Amex,Credit,362084701337381,09/2020,71,YES,2,$8400,08/2010,2012,No,47,68,1972,7,Male,208 Park Avenue,44.53,-72.0,$16976,$34606,$23909,680,5,10127157,2011-09-28 16:52:00,4583,$33.90,Online Transaction,39021,ONLINE,,,4784,,
2011,40,Mastercard,Debit,5488342944613905,03/2011,880,YES,2,$142,03/1999,2014,No,71,74,1948,6,Male,2786 Forest Lane,39.92,-83.79,$14342,$29243,$30686,726,4,19549899,2017-05-22 21:54:00,3648,$14.51,Swipe Transaction,30055,Frankfort,OH,45628.0,7832,,
1325,948,Mastercard,Debit,5196909207454962,05/2023,71,YES,1,$13035,02/2013,2013,No,53,65,1966,12,Female,1540 El Camino Avenue,26.74,-80.12,$18205,$37119,$55010,718,5,23045936,2019-06-02 11:46:00,1265,$14.66,Chip Transaction,75936,West Palm Beach,FL,33407.0,5814,,
