id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,id_right,date,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,fraud_label
4938,1776,Amex,Credit,357731604070533,05/2020,270,YES,1,$13400,10/1999,2012,No,47,75,1972,10,Male,130 Lincoln Drive,40.04,-82.12,$21156,$43133,$44263,693,3,13969525,2014-02-07 09:50:00,4938,$62.00,Swipe Transaction,43293,Nashport,OH,43830.0,5499,,
3398,114,Mastercard,Debit,5563288095981743,07/2023,711,YES,2,$27447,06/2008,2010,No,47,65,1972,12,Female,112 Elm Avenue,34.18,-118.39,$16892,$34441,$907,725,4,23042153,2019-06-01 14:46:00,5283,$-82.00,Chip Transaction,61195,East Leroy,MI,49051.0,5541,,
1576,254,Mastercard,Debit,5752088223667735,12/2021,728,YES,1,$17584,02/2020,2020,No,30,66,1989,5,Male,323 Eighth Drive,40.02,-105.25,$33151,$67589,$0,734,3,11558628,2012-08-20 22:35:00,1247,$7.93,Swipe Transaction,78011,Boulder,CO,80302.0,5813,,
211,581,Visa,Debit,4566018104845496,08/2020,490,YES,1,$12589,01/2009,2011,No,48,67,1971,3,Male,1813 Second Lane,29.99,-90.24,$14696,$29962,$55000,684,3,8653961,2010-10-18 12:06:00,211,$31.25,Swipe Transaction,20561,Kenner,LA,70062.0,5912,,
3389,1169,Mastercard,Debit,5148179955768342,01/2013,502,YES,2,$3095,06/2008,2012,No,51,68,1968,11,Female,375 Hillside Drive,30.54,-97.64,$30358,$61901,$29627,726,7,11715785,2012-09-25 11:27:00,5174,$30.88,Swipe Transaction,89707,Round Rock,TX,78665.0,4121,,
5782,860,Mastercard,Debit,5505577705152118,07/2020,828,YES,2,$39870,12/2002,2003,No,55,65,1965,2,Male,7035 River Boulevard,39.01,-77.02,$30794,$62791,$193215,692,4,9644780,2011-06-09 11:07:00,5782,$21.13,Swipe Transaction,61195,Silver Spring,MD,20901.0,5541,,
4604,156,Mastercard,Debit (Prepaid),5395413641992121,12/2016,599,YES,1,$64,09/2006,2010,No,36,67,1983,7,Female,2062 Fourth Street,34.08,-117.46,$13739,$28007,$0,691,4,15843341,2015-03-22 12:50:00,4604,$7.66,Chip Transaction,46284,Fontana,CA,92335.0,5411,,
2539,1077,Mastercard,Debit,5324493090826390,11/2014,819,YES,2,$17034,04/2007,2007,No,57,54,1962,12,Female,886 Plum Boulevard,39.12,-123.28,$17899,$12044,$10323,576,3,22561863,2019-02-19 19:01:00,214,$31.40,Chip Transaction,46284,Ukiah,CA,95482.0,5411,,
2052,234,Visa,Debit,4081263773546457,07/2023,64,YES,1,$4750,03/2003,2011,No,42,73,1977,11,Female,8027 Main Drive,32.76,-96.59,$18452,$37623,$923,726,6,12645288,2013-04-21 23:53:00,4799,$60.00,Swipe Transaction,27092,Dallas,TX,75208.0,4829,,
6045,1330,Mastercard,Debit,5471442279898272,02/2021,537,NO,1,$21820,12/2011,2011,No,65,61,1954,12,Female,35187 West Lane,34.4,-119.72,$33097,$35404,$30887,575,3,22327638,2019-01-01 09:00:00,6045,$8.81,Online Transaction,15143,ONLINE,,,4784,,
