id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,id_right,date,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
3208,996,Mastercard,Credit,5784959743819578,07/2023,348,YES,1,$12900,06/1999,2011,No,63,67,1956,11,Female,2302 Catherine Lane,26.02,-80.16,$19712,$40194,$107765,738,6,18803215,2016-12-15 07:47:00,1107,$144.58,Chip Transaction,70903,Hollywood,FL,33029.0,4111,
2439,1995,Amex,Credit,382683082835230,07/2021,521,YES,2,$4000,04/2003,2011,No,64,62,1955,7,Female,28 First Lane,39.92,-77.71,$20943,$39206,$9219,605,4,11010135,2012-04-18 17:28:00,190,$12.00,Swipe Transaction,59935,New York,NY,10027.0,5499,
5979,602,Visa,Debit,4355941830927575,08/2022,502,YES,2,$12978,12/2009,2009,No,57,67,1963,1,Male,46 South Street,36.34,-79.67,$16888,$34437,$0,681,4,16598615,2015-08-31 10:41:00,3982,$8.26,Chip Transaction,61573,Reidsville,NC,27320.0,5812,
4565,1963,Visa,Credit,4845860911762398,12/2023,234,YES,1,$20700,09/2004,2012,No,98,69,1921,11,Male,468 Spruce Street,38.35,-121.93,$26137,$33869,$370,821,7,15285063,2014-11-21 16:46:00,4565,$29.63,Online Transaction,18563,ONLINE,,,4121,
159,154,Mastercard,Debit,5175111743032898,03/2011,151,YES,2,$12557,01/2008,2013,No,48,61,1971,6,Male,8993 Madison Avenue,34.93,-78.72,$18376,$37468,$73448,666,3,8460266,2010-09-01 17:52:00,4340,$64.00,Swipe Transaction,22204,Fayetteville,NC,28314.0,5541,
4367,216,Mastercard,Debit (Prepaid),5094200042825369,10/2023,696,NO,1,$80,08/2011,2011,No,60,66,1959,5,Female,378 Fourth Boulevard,39.92,-85.36,$16273,$33178,$85620,687,3,13412690,2013-10-07 22:53:00,2063,$297.96,Swipe Transaction,60268,New Castle,IN,47362.0,4900,
4210,1519,Mastercard,Debit,5195329982261769,01/2020,148,YES,1,$16028,08/2007,2011,No,41,72,1978,3,Female,98086 Essex Drive,45.6,-108.68,$19625,$40012,$59472,849,4,21509380,2018-07-11 22:10:00,2452,$1.96,Swipe Transaction,86438,Billings,MT,59101.0,5499,
2933,1634,Mastercard,Credit,5720852309018318,11/2023,885,YES,1,$4400,05/2007,2014,No,66,68,1953,3,Male,703 West Drive,26.18,-98.11,$10091,$20577,$60152,825,4,14989779,2014-09-18 12:03:00,2464,$18.73,Swipe Transaction,60569,Edinburg,TX,78542.0,5300,
3960,1516,Visa,Debit,4776377960241200,12/2022,190,YES,2,$25010,07/2010,2010,No,38,67,1981,3,Male,909 Eighth Street,37.44,-121.87,$33758,$68827,$35669,755,2,11341492,2012-07-02 18:43:00,1002,$198.09,Swipe Transaction,57301,Milpitas,CA,95035.0,5655,
3007,472,Mastercard,Debit (Prepaid),5761593258077977,01/2020,590,YES,2,$44,05/2009,2013,No,50,64,1969,4,Male,4480 Hillside Avenue,42.34,-88.11,$22578,$46039,$79738,672,4,16214139,2015-06-10 08:16:00,3007,$15.20,Chip Transaction,82981,Round Lake,IL,60073.0,5912,
2800,456,Visa,Credit,4751933848032848,12/2024,614,YES,1,$5800,05/1998,2009,No,54,63,1965,10,Male,600 Grant Lane,26.63,-81.99,$17140,$34947,$49024,751,3,10694427,2012-02-05 19:55:00,4576,$51.12,Online Transaction,50404,ONLINE,,,4784,
283,1378,Visa,Debit,4686786422368480,08/2021,648,YES,1,$21757,01/2011,2011,No,46,67,1973,3,Female,778 Main Avenue,44.27,-88.34,$20013,$40810,$65643,614,4,23489079,2019-09-03 22:20:00,283,$34.81,Online Transaction,88459,ONLINE,,,5311,
6057,394,Visa,Debit,4699535367725055,06/2023,544,YES,1,$22015,12/2011,2011,No,52,71,1967,4,Male,514 Pine Boulevard,41.09,-73.55,$34138,$69604,$47193,684,4,16837692,2015-10-21 13:18:00,6057,$11.60,Chip Transaction,17493,Bayonne,NJ,7002.0,5812,
5663,1541,Visa,Debit,4170281671173425,09/2023,374,YES,1,$10627,11/2011,2011,No,48,65,1971,10,Female,7139 Lake Boulevard,36.09,-84.13,$18353,$37422,$127116,681,5,23413434,2019-08-18 21:09:00,228,$16.31,Online Transaction,16798,ONLINE,,,4121,
2599,1103,Mastercard,Debit,5557896137687493,06/2023,598,YES,2,$15409,04/2009,2010,No,45,70,1974,5,Female,31 Jefferson Boulevard,47.09,-116.46,$12618,$25723,$34007,746,3,22905352,2019-05-03 13:55:00,2599,$37.44,Chip Transaction,18215,Draper,UT,84020.0,5719,
4553,1843,Mastercard,Debit,5813126802246388,12/2022,390,YES,2,$10638,09/2004,2010,No,89,73,1930,11,Male,89 Wessex Street,41.5,-87.63,$16503,$38761,$69,760,7,11340154,2012-07-02 13:31:00,3522,$273.82,Swipe Transaction,16790,Port Washington,NY,11050.0,3389,
3503,61,Visa,Debit,4873170994873047,12/2021,510,YES,2,$19264,06/2010,2010,No,44,65,1976,2,Female,4121 Mountain View Boulevard,41.05,-73.74,$45812,$93406,$151935,801,3,9920014,2011-08-12 06:42:00,3503,$82.74,Swipe Transaction,20519,Monroe,NY,10950.0,5942,
6138,1115,Visa,Debit,4171955938083789,04/2023,251,YES,1,$12606,12/2018,2018,No,53,73,1966,9,Male,94 Jefferson Drive,32.32,-95.3,$14811,$30198,$40950,693,6,19213728,2017-03-12 14:06:00,4225,$17.77,Chip Transaction,31893,Jacksonville,TX,75766.0,5311,
3444,1644,Visa,Credit,4715738219735937,07/2023,643,YES,1,$10900,06/2009,2009,No,83,65,1937,1,Male,637 Seventh Street,34.66,-83.09,$15406,$31943,$1248,686,6,13853933,2014-01-12 21:37:00,3867,$42.45,Swipe Transaction,44625,Westminster,SC,29693.0,5812,
2347,601,Visa,Credit,4000370059012165,11/2024,22,YES,2,$5400,03/2015,2015,No,68,67,1951,7,Male,5828 Wessex Drive,28.5,-81.37,$15849,$43004,$15304,761,6,9658749,2011-06-12 16:18:00,3681,$279.00,Swipe Transaction,39991,Lincoln Park,MI,48146.0,3771,
