id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,id_right,date,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
4357,795,Discover,Credit,6917280872761373,04/2020,315,YES,2,$16100,08/2011,2011,No,40,58,1979,3,Female,73 Oak Street,32.79,-96.76,$37234,$75918,$94579,759,2,18361186,2016-09-12 04:17:00,4357,$6.84,Online Transaction,37387,ONLINE,,,4899,
1112,351,Mastercard,Debit (Prepaid),5348108239138924,11/2023,893,YES,2,$54,02/2007,2010,No,91,70,1928,9,Female,984 Little Creek Lane,40.77,-73.84,$13810,$17150,$375,807,6,16859580,2015-10-26 09:49:00,4512,$2.47,Chip Transaction,90329,Flushing,NY,11355.0,5411,
414,231,Amex,Credit,310400555625656,02/2020,226,YES,2,$4700,01/2020,2020,No,55,67,1964,3,Female,1442 Mill Avenue,35.05,-78.87,$17789,$36270,$73779,769,5,21237374,2018-05-15 09:43:00,5718,$100.00,Swipe Transaction,27092,Newton Grove,NC,28366.0,4829,
4529,1896,Discover,Credit,6771746312163081,11/2012,841,NO,1,$14400,09/2003,2011,No,50,79,1969,9,Female,6695 River Lane,41.91,-83.38,$19736,$40246,$74352,641,5,21929599,2018-10-08 19:46:00,1124,$60.44,Chip Transaction,26453,Boynton Beach,FL,33426.0,5812,
5489,63,Mastercard,Debit,5573468131965566,09/2024,258,YES,1,$16422,11/2007,2011,No,40,64,1979,12,Male,390 Tenth Street,40.72,-74.17,$17370,$35418,$51741,660,6,19563148,2017-05-25 15:12:00,2805,$0.64,Online Transaction,39021,ONLINE,,,4784,
981,173,Mastercard,Debit,5659101740652440,02/2002,501,YES,2,$23502,02/2000,2020,No,63,62,1956,5,Female,440 North Street,32.45,-99.73,$16665,$30399,$19404,668,4,9770175,2011-07-08 10:48:00,3528,$49.55,Swipe Transaction,59935,Abilene,TX,79605.0,5499,
2513,503,Visa,Debit (Prepaid),4338179283608637,01/2022,479,YES,2,$85,04/2006,2010,No,47,61,1973,2,Female,54 Valley Lane,41.83,-87.68,$14497,$29564,$54279,694,2,19107590,2017-02-18 01:54:00,2513,$30.00,Swipe Transaction,60569,Chicago,IL,60632.0,5300,
4748,884,Visa,Credit,4376956078073122,11/2020,45,YES,1,$8800,09/2009,2012,No,75,64,1945,2,Male,3095 Eighth Drive,42.97,-85.77,$21663,$42812,$22171,631,4,9014071,2011-01-12 09:08:00,2237,$67.72,Swipe Transaction,78534,Grand Rapids,MI,49534.0,5411,
4292,249,Mastercard,Credit,5806288548928072,12/2024,798,YES,2,$1500,08/2009,2009,No,42,69,1977,9,Female,6777 First Drive,34.1,-117.38,$14632,$29835,$46702,618,7,21107992,2018-04-17 18:41:00,3520,$-375.00,Chip Transaction,44795,Marysville,OH,43040.0,3780,
5657,1772,Mastercard,Debit,5626378456369424,05/2023,982,NO,2,$16426,11/2011,2011,No,47,70,1972,10,Male,9070 West Street,34.09,-117.58,$24603,$50163,$97188,761,4,10810185,2012-03-04 07:43:00,5918,$95.00,Swipe Transaction,43293,El Monte,CA,91731.0,5499,
3363,190,Visa,Debit,4685370244169283,04/2022,311,YES,2,$7946,06/2007,2014,No,40,67,1979,4,Male,5468 Little Creek Drive,42.03,-87.73,$21801,$44452,$12409,711,5,14036974,2014-02-22 06:00:00,2496,$2.40,Swipe Transaction,75781,Waukegan,IL,60085.0,5411,
4817,488,Mastercard,Debit,5535209227360709,01/2019,434,YES,1,$12759,09/2011,2011,No,34,69,1985,6,Male,927 River Street,27.92,-97.29,$15758,$32126,$54351,745,2,15760479,2015-03-04 13:44:00,4817,$-56.00,Chip Transaction,43293,Gregory,TX,78359.0,5499,
2773,712,Visa,Debit,4891475179534976,12/2018,326,YES,2,$18316,04/2017,2017,No,74,67,1945,3,Female,54 Lafayette Street,32.63,-117.05,$20102,$29130,$8746,720,5,16549377,2015-08-20 19:34:00,3804,$22.18,Swipe Transaction,30055,Chula Vista,CA,91910.0,7832,
